State,District,Most AQI Reached,Current AQI,Major Source of Pollution,AQI_Difference,Category,District_Rank
Gujarat,Kachchh (Area 4),258,104,Crop Burning,154,Moderate,3454
Gujarat,Kachchh (Area 5),235,172,Crop Burning,63,Moderate,1852
Gujarat,Kachchh (Area 6),136,59,Vehicle,77,Satisfactory,4416
Gujarat,Kheda (Nadiad),307,137,Industrial Emissions,170,Moderate,2677
Gujarat,Kheda (Nadiad) (Area 1),225,185,Crop Burning,40,Moderate,1517
Gujarat,Kheda (Nadiad) (Area 2),184,113,Crop Burning,71,Moderate,3243
Gujarat,Kheda (Nadiad) (Area 3),101,34,Construction Dust,67,Good,4944
Gujarat,Kheda (Nadiad) (Area 4),202,70,Industrial Emissions,132,Satisfactory,4153
Gujarat,Kheda (Nadiad) (Area 5),244,98,Construction Dust,146,Satisfactory,3574
Gujarat,Kheda (Nadiad) (Area 6),284,127,Construction Dust,157,Moderate,2909
Gujarat,Mahisagar,195,64,Waste Burning,131,Satisfactory,4293
Gujarat,Mahisagar (Area 1),164,158,Construction Dust,6,Moderate,2207
Gujarat,Mahisagar (Area 2),190,163,Industrial Emissions,27,Moderate,2075
Gujarat,Mahisagar (Area 3),230,123,Crop Burning,107,Moderate,2983
Gujarat,Mahisagar (Area 4),303,159,Waste Burning,144,Moderate,2183
Gujarat,Mahisagar (Area 5),172,146,Waste Burning,26,Moderate,2499
Gujarat,Mahisagar (Area 6),295,190,Road Dust,105,Moderate,1355
Gujarat,Mehsana,110,81,Road Dust,29,Satisfactory,3923
Gujarat,Mehsana (Area 1),129,100,Waste Burning,29,Satisfactory,3535
Gujarat,Mehsana (Area 2),284,98,Domestic Fuel,186,Satisfactory,3574
Gujarat,Mehsana (Area 3),201,59,Road Dust,142,Satisfactory,4416
Gujarat,Mehsana (Area 4),181,170,Road Dust,11,Moderate,1898
Gujarat,Mehsana (Area 5),250,134,Waste Burning,116,Moderate,2740
Gujarat,Mehsana (Area 6),280,98,Vehicle,182,Satisfactory,3574
Gujarat,Morbi,207,135,Vehicle,72,Moderate,2714
Gujarat,Morbi (Area 1),290,117,Industrial Emissions,173,Moderate,3144
Gujarat,Morbi (Area 2),283,184,Crop Burning,99,Moderate,1544
Gujarat,Morbi (Area 3),260,34,Construction Dust,226,Good,4944
Gujarat,Morbi (Area 4),237,110,Vehicle,127,Moderate,3302
Gujarat,Morbi (Area 5),303,137,Domestic Fuel,166,Moderate,2677
Gujarat,Morbi (Area 6),220,157,Vehicle,63,Moderate,2239
Gujarat,Narmada (Rajpipla),240,185,Crop Burning,55,Moderate,1517
Gujarat,Narmada (Rajpipla) (Area 1),184,116,Road Dust,68,Moderate,3173
Gujarat,Narmada (Rajpipla) (Area 2),133,48,Road Dust,85,Good,4638
Gujarat,Narmada (Rajpipla) (Area 3),243,55,Waste Burning,188,Satisfactory,4497
Gujarat,Narmada (Rajpipla) (Area 4),208,135,Crop Burning,73,Moderate,2714
Gujarat,Narmada (Rajpipla) (Area 5),282,123,Construction Dust,159,Moderate,2983
Gujarat,Narmada (Rajpipla) (Area 6),77,44,Construction Dust,33,Good,4732
Gujarat,Navsari,184,176,Road Dust,8,Moderate,1754
Gujarat,Navsari (Area 1),302,70,Road Dust,232,Satisfactory,4153
Gujarat,Navsari (Area 2),219,121,Industrial Emissions,98,Moderate,3037
Gujarat,Navsari (Area 3),180,97,Waste Burning,83,Satisfactory,3593
Gujarat,Navsari (Area 4),262,147,Road Dust,115,Moderate,2478
Gujarat,Navsari (Area 5),191,170,Waste Burning,21,Moderate,1898
Gujarat,Navsari (Area 6),296,61,Waste Burning,235,Satisfactory,4368
Gujarat,Panchmahal (Godhra),136,66,Industrial Emissions,70,Satisfactory,4247
Gujarat,Panchmahal (Godhra) (Area 1),231,136,Industrial Emissions,95,Moderate,2692
Gujarat,Panchmahal (Godhra) (Area 2),183,128,Domestic Fuel,55,Moderate,2872
Gujarat,Panchmahal (Godhra) (Area 3),112,96,Industrial Emissions,16,Satisfactory,3616
Gujarat,Panchmahal (Godhra) (Area 4),254,116,Waste Burning,138,Moderate,3173
Gujarat,Panchmahal (Godhra) (Area 5),176,152,Industrial Emissions,24,Moderate,2349
Gujarat,Panchmahal (Godhra) (Area 6),265,187,Crop Burning,78,Moderate,1455
Gujarat,Patan,296,109,Waste Burning,187,Moderate,3338
Gujarat,Patan (Area 1),212,76,Construction Dust,136,Satisfactory,4023
Gujarat,Patan (Area 2),130,102,Crop Burning,28,Moderate,3493
Gujarat,Patan (Area 3),222,73,Crop Burning,149,Satisfactory,4083
Gujarat,Patan (Area 4),319,101,Road Dust,218,Moderate,3515
Gujarat,Patan (Area 5),221,155,Waste Burning,66,Moderate,2275
Gujarat,Patan (Area 6),107,106,Domestic Fuel,1,Moderate,3413
Gujarat,Porbandar,242,92,Domestic Fuel,150,Satisfactory,3706
Gujarat,Porbandar (Area 1),200,101,Construction Dust,99,Moderate,3515
Gujarat,Porbandar (Area 2),293,122,Crop Burning,171,Moderate,3013
Gujarat,Porbandar (Area 3),137,133,Vehicle,4,Moderate,2758
Gujarat,Porbandar (Area 4),149,71,Domestic Fuel,78,Satisfactory,4129
Gujarat,Porbandar (Area 5),221,82,Industrial Emissions,139,Satisfactory,3904
Gujarat,Porbandar (Area 6),221,188,Construction Dust,33,Moderate,1423
Gujarat,Rajkot,182,50,Industrial Emissions,132,Good,4596
Gujarat,Rajkot (Area 1),129,32,Construction Dust,97,Good,4983
Gujarat,Rajkot (Area 2),149,132,Waste Burning,17,Moderate,2792
Gujarat,Rajkot (Area 3),288,78,Domestic Fuel,210,Satisfactory,3989
Gujarat,Rajkot (Area 4),304,162,Vehicle,142,Moderate,2106
Gujarat,Rajkot (Area 5),231,87,Road Dust,144,Satisfactory,3813
Gujarat,Rajkot (Area 6),57,44,Vehicle,13,Good,4732
Gujarat,Sabarkantha (Himmatnagar),122,93,Construction Dust,29,Satisfactory,3678
Gujarat,Sabarkantha (Himmatnagar) (Area 1),262,123,Construction Dust,139,Moderate,2983
Gujarat,Sabarkantha (Himmatnagar) (Area 2),217,183,Vehicle,34,Moderate,1572
Gujarat,Sabarkantha (Himmatnagar) (Area 3),192,126,Waste Burning,66,Moderate,2934
Gujarat,Sabarkantha (Himmatnagar) (Area 4),218,184,Domestic Fuel,34,Moderate,1544
Gujarat,Sabarkantha (Himmatnagar) (Area 5),266,160,Domestic Fuel,106,Moderate,2154
Gujarat,Sabarkantha (Himmatnagar) (Area 6),303,176,Crop Burning,127,Moderate,1754
Gujarat,Surat,249,125,Road Dust,124,Moderate,2951
Gujarat,Surat (Area 1),121,65,Domestic Fuel,56,Satisfactory,4267
Gujarat,Surat (Area 2),310,175,Industrial Emissions,135,Moderate,1780
Gujarat,Surat (Area 3),268,163,Industrial Emissions,105,Moderate,2075
Gujarat,Surat (Area 4),191,171,Road Dust,20,Moderate,1866
Gujarat,Surat (Area 5),251,75,Domestic Fuel,176,Satisfactory,4041
Gujarat,Surat (Area 6),268,149,Construction Dust,119,Moderate,2426
Gujarat,Surendranagar,286,127,Crop Burning,159,Moderate,2909
Gujarat,Surendranagar (Area 1),281,146,Waste Burning,135,Moderate,2499
Gujarat,Surendranagar (Area 2),244,175,Crop Burning,69,Moderate,1780
Gujarat,Surendranagar (Area 3),146,74,Domestic Fuel,72,Satisfactory,4064
Gujarat,Surendranagar (Area 4),302,111,Crop Burning,191,Moderate,3285
Gujarat,Surendranagar (Area 5),250,55,Waste Burning,195,Satisfactory,4497
Gujarat,Surendranagar (Area 6),99,86,Crop Burning,13,Satisfactory,3830
Gujarat,Tapi (Vyara),212,160,Road Dust,52,Moderate,2154
Gujarat,Tapi (Vyara) (Area 1),301,82,Waste Burning,219,Satisfactory,3904
Gujarat,Tapi (Vyara) (Area 2),275,115,Road Dust,160,Moderate,3206
Gujarat,Tapi (Vyara) (Area 3),270,186,Crop Burning,84,Moderate,1478
Gujarat,Tapi (Vyara) (Area 4),189,138,Industrial Emissions,51,Moderate,2660
Gujarat,Tapi (Vyara) (Area 5),197,43,Domestic Fuel,154,Good,4752
Gujarat,Tapi (Vyara) (Area 6),233,113,Waste Burning,120,Moderate,3243
Gujarat,Vadodara,223,130,Road Dust,93,Moderate,2832
Gujarat,Vadodara (Area 1),161,106,Waste Burning,55,Moderate,3413
Gujarat,Vadodara (Area 2),204,68,Waste Burning,136,Satisfactory,4204
Gujarat,Vadodara (Area 3),212,80,Waste Burning,132,Satisfactory,3948
Gujarat,Vadodara (Area 4),213,172,Construction Dust,41,Moderate,1852
Gujarat,Vadodara (Area 5),179,98,Construction Dust,81,Satisfactory,3574
Gujarat,Vadodara (Area 6),284,53,Waste Burning,231,Satisfactory,4544
Gujarat,Valsad,262,77,Crop Burning,185,Satisfactory,4006
Gujarat,Valsad (Area 1),248,160,Waste Burning,88,Moderate,2154
Gujarat,Valsad (Area 2),299,95,Road Dust,204,Satisfactory,3634
Gujarat,Valsad (Area 3),310,180,Domestic Fuel,130,Moderate,1635
Gujarat,Valsad (Area 4),276,132,Domestic Fuel,144,Moderate,2792
Gujarat,Valsad (Area 5),144,110,Vehicle,34,Moderate,3302
Gujarat,Valsad (Area 6),182,45,Vehicle,137,Good,4702
Haryana,Ambala,410,289,Industrial Emissions,121,Poor,910
Haryana,Ambala (Area 1),482,475,Construction Dust,7,Severe,22
Haryana,Ambala (Area 2),476,346,Road Dust,130,Very Poor,646
Haryana,Ambala (Area 3),351,349,Crop Burning,2,Very Poor,631
Haryana,Ambala (Area 4),352,300,Construction Dust,52,Poor,851
Haryana,Ambala (Area 5),466,344,Domestic Fuel,122,Very Poor,656
Haryana,Ambala (Area 6),372,350,Road Dust,22,Very Poor,621
Haryana,Bhiwani,272,234,Crop Burning,38,Poor,1172
Haryana,Bhiwani (Area 1),485,270,Crop Burning,215,Poor,999
Haryana,Bhiwani (Area 2),463,410,Crop Burning,53,Severe,341
Haryana,Bhiwani (Area 3),431,287,Crop Burning,144,Poor,920
Haryana,Bhiwani (Area 4),357,224,Waste Burning,133,Poor,1211
Haryana,Bhiwani (Area 5),465,461,Construction Dust,4,Severe,102
Haryana,Bhiwani (Area 6),496,440,Industrial Emissions,56,Severe,208
Haryana,Charkhi Dadri,188,174,Industrial Emissions,14,Moderate,1803
Haryana,Charkhi Dadri (Area 1),386,259,Industrial Emissions,127,Poor,1046
Haryana,Charkhi Dadri (Area 2),244,197,Waste Burning,47,Moderate,1323
Haryana,Charkhi Dadri (Area 3),410,242,Construction Dust,168,Poor,1134
Haryana,Charkhi Dadri (Area 4),456,272,Industrial Emissions,184,Poor,991
Haryana,Charkhi Dadri (Area 5),476,403,Crop Burning,73,Severe,378
Haryana,Charkhi Dadri (Area 6),444,194,Crop Burning,250,Moderate,1334
Haryana,Faridabad,405,404,Vehicle,1,Severe,374
Haryana,Faridabad (Area 1),434,301,Road Dust,133,Very Poor,844
Haryana,Faridabad (Area 2),238,220,Crop Burning,18,Poor,1227
Haryana,Faridabad (Area 3),418,321,Crop Burning,97,Very Poor,770
Haryana,Faridabad (Area 4),409,377,Crop Burning,32,Very Poor,500
Haryana,Faridabad (Area 5),485,479,Crop Burning,6,Severe,6
Haryana,Faridabad (Area 6),442,442,Vehicle,0,Severe,198
Haryana,Fatehabad,492,453,Crop Burning,39,Severe,141
Haryana,Fatehabad (Area 1),487,462,Crop Burning,25,Severe,92
Haryana,Fatehabad (Area 2),429,375,Crop Burning,54,Very Poor,514
Haryana,Fatehabad (Area 3),238,197,Crop Burning,41,Moderate,1323
Haryana,Fatehabad (Area 4),466,453,Industrial Emissions,13,Severe,141
Haryana,Fatehabad (Area 5),495,239,Crop Burning,256,Poor,1145
Haryana,Fatehabad (Area 6),449,276,Crop Burning,173,Poor,974
Haryana,Gurgaon,408,346,Crop Burning,62,Very Poor,646
Haryana,Gurgaon (Area 1),433,195,Crop Burning,238,Moderate,1332
Haryana,Gurgaon (Area 2),380,267,Industrial Emissions,113,Poor,1011
Haryana,Gurgaon (Area 3),322,322,Industrial Emissions,0,Very Poor,769
Haryana,Gurgaon (Area 4),422,360,Vehicle,62,Very Poor,574
Haryana,Gurgaon (Area 5),308,184,Crop Burning,124,Moderate,1544
Haryana,Gurgaon (Area 6),372,360,Vehicle,12,Very Poor,574
Haryana,Hisar,458,456,Crop Burning,2,Severe,122
Haryana,Hisar (Area 1),494,390,Construction Dust,104,Very Poor,441
Haryana,Hisar (Area 2),393,352,Vehicle,41,Very Poor,614
Haryana,Hisar (Area 3),411,297,Vehicle,114,Poor,868
Haryana,Hisar (Area 4),457,447,Crop Burning,10,Severe,178
Haryana,Hisar (Area 5),374,354,Construction Dust,20,Very Poor,602
Haryana,Hisar (Area 6),446,442,Construction Dust,4,Severe,198
Haryana,Jhajjar,494,353,Vehicle,141,Very Poor,611
Haryana,Jhajjar (Area 1),346,335,Domestic Fuel,11,Very Poor,712
Haryana,Jhajjar (Area 2),451,254,Vehicle,197,Poor,1073
Haryana,Jhajjar (Area 3),444,188,Crop Burning,256,Moderate,1423
Haryana,Jhajjar (Area 4),478,310,Crop Burning,168,Very Poor,818
Haryana,Jhajjar (Area 5),325,158,Crop Burning,167,Moderate,2207
Haryana,Jhajjar (Area 6),328,290,Crop Burning,38,Poor,905
Haryana,Jind,472,358,Construction Dust,114,Very Poor,586
Haryana,Jind (Area 1),452,409,Vehicle,43,Severe,348
Haryana,Jind (Area 2),396,245,Waste Burning,151,Poor,1121
Haryana,Jind (Area 3),488,432,Crop Burning,56,Severe,254
Haryana,Jind (Area 4),261,186,Domestic Fuel,75,Moderate,1478
Haryana,Jind (Area 5),378,233,Industrial Emissions,145,Poor,1175
Haryana,Jind (Area 6),448,361,Vehicle,87,Very Poor,570
Haryana,Kaithal,430,410,Vehicle,20,Severe,341
Haryana,Kaithal (Area 1),354,163,Crop Burning,191,Moderate,2075
Haryana,Kaithal (Area 2),499,454,Construction Dust,45,Severe,131
Haryana,Kaithal (Area 3),416,397,Construction Dust,19,Very Poor,412
Haryana,Kaithal (Area 4),442,367,Construction Dust,75,Very Poor,551
Haryana,Kaithal (Area 5),484,435,Vehicle,49,Severe,238
Haryana,Kaithal (Area 6),348,283,Crop Burning,65,Poor,933
Haryana,Karnal,492,296,Crop Burning,196,Poor,874
Haryana,Karnal (Area 1),489,271,Crop Burning,218,Poor,995
Haryana,Karnal (Area 2),349,202,Crop Burning,147,Poor,1301
Haryana,Karnal (Area 3),307,239,Crop Burning,68,Poor,1145
Haryana,Karnal (Area 4),408,342,Crop Burning,66,Very Poor,670
Haryana,Karnal (Area 5),377,185,Industrial Emissions,192,Moderate,1517
Haryana,Karnal (Area 6),322,167,Crop Burning,155,Moderate,1979
Haryana,Kurukshetra,302,208,Domestic Fuel,94,Poor,1282
Haryana,Kurukshetra (Area 1),461,345,Crop Burning,116,Very Poor,651
Haryana,Kurukshetra (Area 2),326,281,Crop Burning,45,Poor,946
Haryana,Kurukshetra (Area 3),461,439,Construction Dust,22,Severe,215
Haryana,Kurukshetra (Area 4),369,341,Crop Burning,28,Very Poor,674
Haryana,Kurukshetra (Area 5),485,448,Crop Burning,37,Severe,166
Haryana,Kurukshetra (Area 6),487,244,Crop Burning,243,Poor,1127
Haryana,Mahendragarh,384,337,Crop Burning,47,Very Poor,694
Haryana,Mahendragarh (Area 1),449,337,Domestic Fuel,112,Very Poor,694
Haryana,Mahendragarh (Area 2),482,476,Crop Burning,6,Severe,18
Haryana,Mahendragarh (Area 3),303,273,Crop Burning,30,Poor,988
Haryana,Mahendragarh (Area 4),500,359,Vehicle,141,Very Poor,582
Haryana,Mahendragarh (Area 5),484,381,Crop Burning,103,Very Poor,478
Haryana,Mahendragarh (Area 6),344,267,Road Dust,77,Poor,1011
Haryana,Mewat,311,291,Road Dust,20,Poor,898
Haryana,Mewat (Area 1),493,289,Road Dust,204,Poor,910
Haryana,Mewat (Area 2),500,472,Crop Burning,28,Severe,43
Haryana,Mewat (Area 3),472,469,Industrial Emissions,3,Severe,59
Haryana,Mewat (Area 4),455,398,Crop Burning,57,Very Poor,404
Haryana,Mewat (Area 5),412,324,Vehicle,88,Very Poor,760
Haryana,Mewat (Area 6),482,370,Crop Burning,112,Very Poor,538
Haryana,Palwal,363,242,Waste Burning,121,Poor,1134
Haryana,Palwal (Area 1),348,301,Crop Burning,47,Very Poor,844
Haryana,Palwal (Area 2),489,469,Crop Burning,20,Severe,59
Haryana,Palwal (Area 3),478,407,Crop Burning,71,Severe,354
Haryana,Palwal (Area 4),366,267,Industrial Emissions,99,Poor,1011
Haryana,Palwal (Area 5),491,469,Crop Burning,22,Severe,59
Haryana,Palwal (Area 6),492,209,Domestic Fuel,283,Poor,1277
Haryana,Panchkula,486,417,Crop Burning,69,Severe,316
Haryana,Panchkula (Area 1),374,170,Road Dust,204,Moderate,1898
Haryana,Panchkula (Area 2),371,291,Crop Burning,80,Poor,898
Haryana,Panchkula (Area 3),260,164,Construction Dust,96,Moderate,2049
Haryana,Panchkula (Area 4),308,159,Vehicle,149,Moderate,2183
Haryana,Panchkula (Area 5),361,350,Construction Dust,11,Very Poor,621
Haryana,Panchkula (Area 6),435,392,Vehicle,43,Very Poor,431
Haryana,Panipat,373,315,Vehicle,58,Very Poor,804
Haryana,Panipat (Area 1),417,369,Vehicle,48,Very Poor,543
Haryana,Panipat (Area 2),487,193,Crop Burning,294,Moderate,1342
Haryana,Panipat (Area 3),260,170,Industrial Emissions,90,Moderate,1898
Haryana,Panipat (Area 4),415,376,Industrial Emissions,39,Very Poor,507
Haryana,Panipat (Area 5),484,450,Construction Dust,34,Severe,159
Haryana,Panipat (Area 6),279,167,Industrial Emissions,112,Moderate,1979
Haryana,Rewari,376,224,Road Dust,152,Poor,1211
Haryana,Rewari (Area 1),492,438,Construction Dust,54,Severe,218
Haryana,Rewari (Area 2),314,217,Crop Burning,97,Poor,1242
Haryana,Rewari (Area 3),345,201,Crop Burning,144,Poor,1305
Haryana,Rewari (Area 4),371,268,Vehicle,103,Poor,1008
Haryana,Rewari (Area 5),403,369,Construction Dust,34,Very Poor,543
Haryana,Rewari (Area 6),215,171,Crop Burning,44,Moderate,1866
Haryana,Rohtak,377,186,Crop Burning,191,Moderate,1478
Haryana,Rohtak (Area 1),475,412,Construction Dust,63,Severe,336
Haryana,Rohtak (Area 2),332,265,Industrial Emissions,67,Poor,1022
Haryana,Rohtak (Area 3),498,459,Crop Burning,39,Severe,112
Haryana,Rohtak (Area 4),483,449,Crop Burning,34,Severe,161
Haryana,Rohtak (Area 5),461,424,Construction Dust,37,Severe,293
Haryana,Rohtak (Area 6),465,222,Crop Burning,243,Poor,1222
Haryana,Sirsa,359,272,Crop Burning,87,Poor,991
Haryana,Sirsa (Area 1),466,407,Vehicle,59,Severe,354
Haryana,Sirsa (Area 2),453,448,Industrial Emissions,5,Severe,166
Haryana,Sirsa (Area 3),271,176,Construction Dust,95,Moderate,1754
Haryana,Sirsa (Area 4),446,374,Crop Burning,72,Very Poor,521
Haryana,Sirsa (Area 5),412,279,Industrial Emissions,133,Poor,957
Haryana,Sirsa (Area 6),278,189,Crop Burning,89,Moderate,1395
Haryana,Sonipat,320,238,Crop Burning,82,Poor,1154
Haryana,Sonipat (Area 1),222,164,Crop Burning,58,Moderate,2049
Haryana,Sonipat (Area 2),422,335,Vehicle,87,Very Poor,712
Haryana,Sonipat (Area 3),329,285,Domestic Fuel,44,Poor,928
Haryana,Sonipat (Area 4),447,386,Vehicle,61,Very Poor,456
Haryana,Sonipat (Area 5),365,242,Crop Burning,123,Poor,1134
Haryana,Sonipat (Area 6),409,250,Vehicle,159,Poor,1092
Haryana,Yamunanagar,160,156,Crop Burning,4,Moderate,2251
Haryana,Yamunanagar (Area 1),474,447,Industrial Emissions,27,Severe,178
Haryana,Yamunanagar (Area 2),450,448,Construction Dust,2,Severe,166
Haryana,Yamunanagar (Area 3),437,333,Industrial Emissions,104,Very Poor,721
Haryana,Yamunanagar (Area 4),379,169,Industrial Emissions,210,Moderate,1925
Haryana,Yamunanagar (Area 5),448,423,Construction Dust,25,Severe,295
Haryana,Yamunanagar (Area 6),366,239,Crop Burning,127,Poor,1145
Himachal Pradesh,Bilaspur,277,65,Crop Burning,212,Satisfactory,4267
Himachal Pradesh,Bilaspur (Area 1),293,39,Construction Dust,254,Good,4829
Himachal Pradesh,Bilaspur (Area 2),135,104,Waste Burning,31,Moderate,3454
Himachal Pradesh,Bilaspur (Area 3),123,71,Construction Dust,52,Satisfactory,4129
Himachal Pradesh,Bilaspur (Area 4),250,69,Waste Burning,181,Satisfactory,4186
Himachal Pradesh,Bilaspur (Area 5),152,140,Road Dust,12,Moderate,2627
Himachal Pradesh,Bilaspur (Area 6),224,51,Industrial Emissions,173,Satisfactory,4578
Himachal Pradesh,Chamba,223,164,Waste Burning,59,Moderate,2049
Himachal Pradesh,Chamba (Area 1),189,130,Road Dust,59,Moderate,2832
Himachal Pradesh,Chamba (Area 2),69,45,Road Dust,24,Good,4702
Himachal Pradesh,Chamba (Area 3),131,110,Vehicle,21,Moderate,3302
Himachal Pradesh,Chamba (Area 4),274,119,Construction Dust,155,Moderate,3093
Himachal Pradesh,Chamba (Area 5),247,72,Domestic Fuel,175,Satisfactory,4100
Himachal Pradesh,Chamba (Area 6),175,171,Construction Dust,4,Moderate,1866
Himachal Pradesh,Hamirpur,122,47,Road Dust,75,Good,4656
Himachal Pradesh,Hamirpur (Area 1),77,50,Industrial Emissions,27,Good,4596
Himachal Pradesh,Hamirpur (Area 2),229,119,Road Dust,110,Moderate,3093
Himachal Pradesh,Hamirpur (Area 3),188,165,Industrial Emissions,23,Moderate,2028
Himachal Pradesh,Hamirpur (Area 4),227,181,Crop Burning,46,Moderate,1609
Himachal Pradesh,Hamirpur (Area 5),138,116,Construction Dust,22,Moderate,3173
Himachal Pradesh,Hamirpur (Area 6),154,89,Road Dust,65,Satisfactory,3772
Himachal Pradesh,Kangra,102,91,Vehicle,11,Satisfactory,3726
Himachal Pradesh,Kangra (Area 1),150,42,Vehicle,108,Good,4776
Himachal Pradesh,Kangra (Area 2),246,43,Construction Dust,203,Good,4752
Himachal Pradesh,Kangra (Area 3),293,136,Waste Burning,157,Moderate,2692
Himachal Pradesh,Kangra (Area 4),111,70,Industrial Emissions,41,Satisfactory,4153
Himachal Pradesh,Kangra (Area 5),301,147,Road Dust,154,Moderate,2478
Himachal Pradesh,Kangra (Area 6),296,111,Road Dust,185,Moderate,3285
Himachal Pradesh,Kinnaur,156,141,Vehicle,15,Moderate,2609
Himachal Pradesh,Kinnaur (Area 1),162,49,Waste Burning,113,Good,4614
Himachal Pradesh,Kinnaur (Area 2),131,46,Industrial Emissions,85,Good,4680
Himachal Pradesh,Kinnaur (Area 3),307,105,Road Dust,202,Moderate,3436
Himachal Pradesh,Kinnaur (Area 4),319,82,Domestic Fuel,237,Satisfactory,3904
Himachal Pradesh,Kinnaur (Area 5),254,173,Industrial Emissions,81,Moderate,1826
Himachal Pradesh,Kinnaur (Area 6),231,143,Industrial Emissions,88,Moderate,2567
Himachal Pradesh,Kullu,205,190,Construction Dust,15,Moderate,1355
Himachal Pradesh,Kullu (Area 1),199,182,Waste Burning,17,Moderate,1593
Himachal Pradesh,Kullu (Area 2),227,135,Waste Burning,92,Moderate,2714
Himachal Pradesh,Kullu (Area 3),158,42,Crop Burning,116,Good,4776
Himachal Pradesh,Kullu (Area 4),140,117,Industrial Emissions,23,Moderate,3144
Himachal Pradesh,Kullu (Area 5),76,35,Waste Burning,41,Good,4916
Himachal Pradesh,Kullu (Area 6),149,75,Domestic Fuel,74,Satisfactory,4041
Himachal Pradesh,Lahaul &amp; Spiti,246,160,Construction Dust,86,Moderate,2154
Himachal Pradesh,Lahaul &amp; Spiti (Area 1),226,119,Crop Burning,107,Moderate,3093
Himachal Pradesh,Lahaul &amp; Spiti (Area 2),180,155,Waste Burning,25,Moderate,2275
Himachal Pradesh,Lahaul &amp; Spiti (Area 3),248,186,Road Dust,62,Moderate,1478
Himachal Pradesh,Lahaul &amp; Spiti (Area 4),201,107,Vehicle,94,Moderate,3387
Himachal Pradesh,Lahaul &amp; Spiti (Area 5),290,190,Road Dust,100,Moderate,1355
Himachal Pradesh,Lahaul &amp; Spiti (Area 6),169,130,Vehicle,39,Moderate,2832
Himachal Pradesh,Mandi,203,158,Road Dust,45,Moderate,2207
Himachal Pradesh,Mandi (Area 1),156,62,Road Dust,94,Satisfactory,4343
Himachal Pradesh,Mandi (Area 2),131,79,Road Dust,52,Satisfactory,3967
Himachal Pradesh,Mandi (Area 3),144,124,Road Dust,20,Moderate,2971
Himachal Pradesh,Mandi (Area 4),275,53,Domestic Fuel,222,Satisfactory,4544
Himachal Pradesh,Mandi (Area 5),150,147,Waste Burning,3,Moderate,2478
Himachal Pradesh,Mandi (Area 6),157,155,Domestic Fuel,2,Moderate,2275
Himachal Pradesh,Shimla,110,35,Construction Dust,75,Good,4916
Himachal Pradesh,Shimla (Area 1),147,90,Industrial Emissions,57,Satisfactory,3750
Himachal Pradesh,Shimla (Area 2),306,82,Crop Burning,224,Satisfactory,3904
Himachal Pradesh,Shimla (Area 3),185,153,Industrial Emissions,32,Moderate,2329
Himachal Pradesh,Shimla (Area 4),229,70,Domestic Fuel,159,Satisfactory,4153
Himachal Pradesh,Shimla (Area 5),166,132,Domestic Fuel,34,Moderate,2792
Himachal Pradesh,Shimla (Area 6),257,102,Construction Dust,155,Moderate,3493
Himachal Pradesh,Sirmaur (Sirmour),163,112,Construction Dust,51,Moderate,3267
Himachal Pradesh,Sirmaur (Sirmour) (Area 1),189,55,Industrial Emissions,134,Satisfactory,4497
Himachal Pradesh,Sirmaur (Sirmour) (Area 2),184,139,Construction Dust,45,Moderate,2647
Himachal Pradesh,Sirmaur (Sirmour) (Area 3),56,46,Crop Burning,10,Good,4680
Himachal Pradesh,Sirmaur (Sirmour) (Area 4),219,133,Construction Dust,86,Moderate,2758
Himachal Pradesh,Sirmaur (Sirmour) (Area 5),265,116,Industrial Emissions,149,Moderate,3173
Himachal Pradesh,Sirmaur (Sirmour) (Area 6),198,189,Domestic Fuel,9,Moderate,1395
Himachal Pradesh,Solan,196,172,Waste Burning,24,Moderate,1852
Himachal Pradesh,Solan (Area 1),130,99,Crop Burning,31,Satisfactory,3553
Himachal Pradesh,Solan (Area 2),274,134,Vehicle,140,Moderate,2740
Himachal Pradesh,Solan (Area 3),171,152,Domestic Fuel,19,Moderate,2349
Himachal Pradesh,Solan (Area 4),131,108,Industrial Emissions,23,Moderate,3362
Himachal Pradesh,Solan (Area 5),192,180,Waste Burning,12,Moderate,1635
Himachal Pradesh,Solan (Area 6),289,173,Domestic Fuel,116,Moderate,1826
Himachal Pradesh,Una,195,125,Construction Dust,70,Moderate,2951
Himachal Pradesh,Una (Area 1),291,98,Road Dust,193,Satisfactory,3574
Himachal Pradesh,Una (Area 2),230,142,Construction Dust,88,Moderate,2585
Himachal Pradesh,Una (Area 3),129,69,Road Dust,60,Satisfactory,4186
Himachal Pradesh,Una (Area 4),278,183,Road Dust,95,Moderate,1572
Himachal Pradesh,Una (Area 5),313,166,Road Dust,147,Moderate,2007
Himachal Pradesh,Una (Area 6),215,154,Construction Dust,61,Moderate,2307
Jammu and Kashmir,Anantnag,257,238,Road Dust,19,Poor,1154
Jammu and Kashmir,Anantnag (Area 1),491,160,Industrial Emissions,331,Moderate,2154
Jammu and Kashmir,Anantnag (Area 2),325,193,Domestic Fuel,132,Moderate,1342
Jammu and Kashmir,Anantnag (Area 3),418,188,Road Dust,230,Moderate,1423
Jammu and Kashmir,Anantnag (Area 4),479,434,Vehicle,45,Severe,242
Jammu and Kashmir,Anantnag (Area 5),371,273,Crop Burning,98,Poor,988
Jammu and Kashmir,Anantnag (Area 6),459,456,Industrial Emissions,3,Severe,122
